geneID	control 1	control 2	hht 1 .1	hht 1.2	hht 2.1	hht 2.2	hht 3.1	hht 3.2
SMAD4	6.378946250195496	6.176648409859945	-5.592370347744679	-5.502626518082374	-5.390162992947423	-5.304129503327325	-5.573911844452663	-5.506874529138144
SMG1P2	3.1497003325711854	2.9872946643604505	1.947210511078981	2.0813765227337613	2.000401472535612	1.7829359893932284	1.3251017280429453	1.6503832316757971
SMG1P4	2.34159789521184	2.332168497274895	0.03726053960500722	0.5949869111230183	-0.23718228086164997	-0.5649752716059411	0.19667699822621332	0.12082530438098318
SMOC2	5.267983299784813	5.1568804432508575	-1.8293291597828072	-0.7986373447804772	-0.008812131031397013	0.9021411729809197	-0.6656556814000926	0.36137138886035475
SNORA49	4.321312361170746	4.322539731965956	3.070280560822095	3.2743223390955603	3.457539687781642	3.037863635204583	3.2606310559600304	3.524095745898057
TMEM144	1.6880127009645864	1.6170793976646676	2.957230024592695	3.05564378045596	2.960579980220292	2.876801348347881	3.119911697047947	3.166546244331128
TMEM170B	2.9809265655744785	2.56637277462045	4.118843193891878	4.008701860883343	4.1830154541885705	4.2807015596342115	3.9445625204290002	4.003774924636658
TPD52L1	3.1679622295899814	2.8627148974079204	1.6717420427451612	1.7209531413217403	1.6893264249897577	2.1072861538396896	1.4785944822444967	1.8372197421516563
TRBC2	3.7519081298066665	3.868479457518803	2.130146556786971	2.2326275172220247	2.2707289224870775	2.56935540027534	2.1464879189142776	2.3977754498880595
TRIB1	5.846108177926941	5.899147897585663	4.931634679536034	4.8967608986055255	4.677230194883283	4.835204612212501	4.932547918714212	4.874760061850233
TTC39A	3.9121586897444964	3.868479457518803	2.8117887005855424	2.609575833411133	3.089484153086236	2.9393255440391846	2.5674406152370106	2.7922584644082833
